District code,District name,Overall 2020-2021 attendance rate - year to date,Overall 2019-2020 attendance rate,High needs student 2020-2021 attendance rate - year to date,High needs student 2019-2020 attendance rate,Reporting period,Update date
2170012,Regional School District 17,0.95,0.97,0.94,0.96,June 2021,08/06/2021
2180012,Regional School District 18,0.96,0.95,0.95,0.95,June 2021,08/06/2021
2190012,Regional School District 19,0.97,0.96,0.95,0.95,June 2021,08/06/2021
2410014,Capitol Region Education Council,0.91,0.93,0.89,0.92,June 2021,08/06/2021
2420014,EdAdvance,0.78,0.87,0.78,0.87,June 2021,08/06/2021
2430014,Cooperative Educational Services,0.90,0.93,0.88,0.92,June 2021,08/06/2021
2440014,Area Cooperative Educational Services,0.80,0.92,0.77,0.91,June 2021,08/06/2021
2450014,Learn,0.89,0.94,0.87,0.94,June 2021,08/06/2021
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),0.80,0.91,0.78,0.90,June 2021,08/06/2021
2610013,Jumoke Academy District,0.94,0.94,0.95,0.95,June 2021,08/06/2021
2630013,Odyssey Community School District,0.96,0.95,0.95,0.96,June 2021,08/06/2021
2640013,Integrated Day Charter School District,0.95,0.96,0.95,0.96,June 2021,08/06/2021
2650013,Interdistrict School for Arts and Comm District,0.96,0.95,0.95,0.95,June 2021,08/06/2021
2680013,Common Ground High School District,0.78,0.94,0.75,0.93,June 2021,08/06/2021
2690013,The Bridge Academy District,0.93,0.94,0.92,0.94,June 2021,08/06/2021
2700013,Side By Side Charter School District,0.94,0.96,0.92,0.97,June 2021,08/06/2021
2720013,Explorations District,0.85,0.91,0.83,0.90,June 2021,08/06/2021
2790013,Amistad Academy District,0.94,0.96,0.93,0.96,June 2021,08/06/2021
2800013,New Beginnings Inc Family Academy District,0.80,0.95,0.80,0.95,June 2021,08/06/2021
2830013,Park City Prep Charter School District,0.92,0.96,0.92,0.96,June 2021,08/06/2021
2850013,Achievement First Bridgeport Academy District,0.94,0.96,0.93,0.96,June 2021,08/06/2021
2860013,Highville Charter School District,0.95,0.95,0.93,0.95,June 2021,08/06/2021
2880013,Achievement First Hartford Academy District,0.90,0.96,0.89,0.96,June 2021,08/06/2021
2890013,Elm City College Preparatory School District,0.94,0.96,0.93,0.95,June 2021,08/06/2021
2900013,Brass City Charter School District,0.92,0.95,0.91,0.95,June 2021,08/06/2021
2910013,Elm City Montessori School District,0.93,0.96,0.90,0.95,June 2021,08/06/2021
2940013,Great Oaks Charter School District,0.96,0.95,0.96,0.94,June 2021,08/06/2021
2950013,Booker T. Washington Academy District,0.86,0.94,0.85,0.94,June 2021,08/06/2021
2960013,Stamford Charter School for Excellence District,0.97,0.96,0.97,0.96,June 2021,08/06/2021
2970013,Capital Preparatory Harbor School District,0.94,0.96,0.93,0.96,June 2021,08/06/2021
3360015,Unified School District #1,0.94,0.95,,,June 2021,08/06/2021
3470015,Unified School District #2,0.97,0.96,,,June 2021,08/06/2021
9000016,Connecticut Technical Education and Career System,0.93,0.95,0.92,0.94,June 2021,08/06/2021
9010022,Norwich Free Academy District,0.89,0.93,0.86,0.92,June 2021,08/06/2021
9020022,The Gilbert School District,0.94,0.94,0.93,0.93,June 2021,08/06/2021
9030022,The Woodstock Academy District,0.96,0.95,0.92,0.90,June 2021,08/06/2021
